Scotland,p2011
S00090083,111
S00090084,148
S00090085,132
S00090086,140
S00090087,107
S00090088,99
S00090089,109
S00090090,63
S00090091,163
S00090092,69
S00090093,55
S00090094,142
S00090095,142
S00090096,103
S00090097,73
S00090098,89
S00090099,189
S00090100,131
S00090101,131
S00090102,113
S00090103,148
S00090104,125
S00090105,93
S00090106,173
S00090107,156
S00090108,125
S00090109,115
S00090110,138
S00090111,76
S00090112,170
S00090113,107
S00090114,129
S00090115,105
S00090116,150
S00090117,140
S00090118,151
S00090119,216
S00090120,141
S00090121,241
S00090122,117
S00090123,99
S00090124,105
S00090125,75
S00090126,134
S00090127,136
S00090128,107
S00090129,135
S00090130,125
S00090131,140
S00090132,150
S00090133,184
S00090134,143
S00090135,143
S00090136,134
S00090137,119
S00090138,111
S00090139,124
S00090140,106
S00090141,94
S00090142,119
S00090143,84
S00090144,87
S00090145,110
S00090146,84
S00090147,85
S00090148,85
S00090149,162
S00090150,82
S00090151,88
S00090152,93
S00090153,119
S00090154,121
S00090155,109
S00090156,140
S00090157,165
S00090158,104
S00090159,135
S00090160,128
S00090161,112
S00090162,138
S00090163,97
S00090164,133
S00090165,128
S00090166,122
S00090167,91
S00090168,97
S00090169,91
S00090170,113
S00090171,58
S00090172,120
S00090173,131
S00090174,144
S00090175,134
S00090176,70
S00090177,118
S00090178,134
S00090179,155
S00090180,132
S00090181,145
S00090182,127
S00090183,158
S00090184,83
S00090185,83
S00090186,114
S00090187,112
S00090188,105
S00090189,68
S00090190,160
S00090191,132
S00090192,99
S00090193,122
S00090194,98
S00090195,109
S00090196,101
S00090197,98
S00090198,104
S00090199,77
S00090200,104
S00090201,123
S00090202,105
S00090203,109
S00090204,128
S00090205,117
S00090206,93
S00090207,96
S00090208,97
S00090209,99
S00090210,84
S00090211,60
S00090212,64
S00090213,71
S00090214,99
S00090215,144
S00090216,110
S00090217,97
S00090218,112
S00090219,119
S00090220,96
S00090221,143
S00090222,211
S00090223,159
S00090224,146
S00090225,78
S00090226,160
S00090227,217
S00090228,164
S00090229,175
S00090230,93
S00090231,112
S00090232,86
S00090233,87
S00090234,106
S00090235,130
S00090236,100
S00090237,97
S00090238,71
S00090239,120
S00090240,146
S00090241,148
S00090242,129
S00090243,90
S00090244,90
S00090245,168
S00090246,59
S00090247,118
S00090248,53
S00090249,172
S00090250,139
S00090251,143
S00090252,175
S00090253,176
S00090254,126
S00090255,150
S00090256,161
S00090257,143
S00090258,154
S00090259,95
S00090260,131
S00090261,93
S00090262,70
S00090263,151
S00090264,136
S00090265,125
S00090266,108
S00090267,80
S00090268,98
S00090269,139
S00090270,127
S00090271,175
S00090272,100
S00090273,62
S00090274,87
S00090275,55
S00090276,105
S00090277,125
S00090278,135
S00090279,152
S00090280,91
S00090281,128
S00090282,107
S00090283,92
S00090284,92
S00090285,83
S00090286,92
S00090287,110
S00090288,152
S00090289,68
S00090290,82
S00090291,100
S00090292,124
S00090293,110
S00090294,113
S00090295,137
S00090296,104
S00090297,151
S00090298,87
S00090299,124
S00090300,115
S00090301,82
S00090302,101
S00090303,221
S00090304,150
S00090305,196
S00090306,185
S00090307,170
S00090308,127
S00090309,154
S00090310,132
S00090311,178
S00090312,85
S00090313,183
S00090314,253
S00090315,91
S00090316,175
S00090317,184
S00090318,172
S00090319,80
S00090320,68
S00090321,103
S00090322,99
S00090323,92
S00090324,75
S00090325,95
S00090326,84
S00090327,72
S00090328,55
S00090329,73
S00090330,55
S00090331,171
S00090332,108
S00090333,126
S00090334,50
S00090335,70
S00090336,133
S00090337,138
S00090338,59
S00090339,52
S00090340,96
S00090341,69
S00090342,73
S00090343,96
S00090344,59
S00090345,120
S00090346,97
S00090347,157
S00090348,178
S00090349,108
S00090350,107
S00090351,69
S00090352,89
S00090353,64
S00090354,194
S00090355,65
S00090356,94
S00090357,224
S00090358,158
S00090359,119
S00090360,92
S00090361,80
S00090362,138
S00090363,55
S00090364,71
S00090365,112
S00090366,78
S00090367,54
S00090368,52
S00090369,149
S00090370,125
S00090371,117
S00090372,98
S00090373,60
S00090374,120
S00090375,63
S00090376,129
S00090377,96
S00090378,78
S00090379,82
S00090380,117
S00090381,117
S00090382,55
S00090383,88
S00090384,69
S00090385,158
S00090386,77
S00090387,76
S00090388,122
S00090389,130
S00090390,93
S00090391,96
S00090392,98
S00090393,129
S00090394,90
S00090395,107
S00090396,80
S00090397,74
S00090398,60
S00090399,215
S00090400,128
S00090401,100
S00090402,113
S00090403,166
S00090404,190
S00090405,170
S00090406,131
S00090407,212
S00090408,67
S00090409,112
S00090410,112
S00090411,78
S00090412,59
S00090413,93
S00090414,114
S00090415,169
S00090416,115
S00090417,68
S00090418,50
S00090419,95
S00090420,94
S00090421,149
S00090422,75
S00090423,250
S00090424,69
S00090425,108
S00090426,102
S00090427,83
S00090428,240
S00090429,96
S00090430,98
S00090431,118
S00090432,63
S00090433,107
S00090434,113
S00090435,58
S00090436,139
S00090437,109
S00090438,59
S00090439,69
S00090440,135
S00090441,162
S00090442,97
S00090443,61
S00090444,224
S00090445,111
S00090446,75
S00090447,135
S00090448,62
S00090449,76
S00090450,73
S00090451,62
S00090452,73
S00090453,61
S00090454,148
S00090455,80
S00090456,55
S00090457,59
S00090458,117
S00090459,87
S00090460,128
S00090461,69
S00090462,114
S00090463,86
S00090464,74
S00090465,134
S00090466,78
S00090467,102
S00090468,111
S00090469,89
S00090470,74
S00090471,88
S00090472,102
S00090473,89
S00090474,110
S00090475,93
S00090476,94
S00090477,92
S00090478,127
S00090479,115
S00090480,67
S00090481,69
S00090482,64
S00090483,86
S00090484,85
S00090485,75
S00090486,77
S00090487,64
S00090488,115
S00090489,73
S00090490,118
S00090491,58
S00090492,62
S00090493,75
S00090494,78
S00090495,90
S00090496,241
S00090497,93
S00090498,87
S00090499,181
S00090500,113
S00090501,107
S00090502,88
S00090503,67
S00090504,162
S00090505,132
S00090506,100
S00090507,159
S00090508,84
S00090509,156
S00090510,139
S00090511,64
S00090512,70
S00090513,101
S00090514,90
S00090515,100
S00090516,95
S00090517,109
S00090518,93
S00090519,78
S00090520,115
S00090521,63
S00090522,70
S00090523,836
S00090524,112
S00090525,76
S00090526,89
S00090527,125
S00090528,132
S00090529,102
