code,p2001
60QA000808,90
60QA000809,169
60QA000810,125
60QA000811,133
60QA000812,120
60QA000813,79
60QA000814,170
60QA000815,166
60QA000816,122
60QA000817,124
60QA000818,106
60QA000819,119
60QA000820,134
60QA000821,96
60QA000822,136
60QA000823,100
60QA000824,94
60QA000825,161
60QA000826,160
60QA000827,148
60QA000828,87
60QA000829,89
60QA000830,109
60QA000831,92
60QA000832,127
60QA000833,117
60QA000834,163
60QA000835,83
60QA000836,207
60QA000837,146
60QA000838,146
60QA000839,96
60QA000840,102
60QA000841,118
60QA000842,98
60QA000843,140
60QA000844,165
60QA000845,119
60QA000846,103
60QA000847,118
60QA000848,90
60QA000849,72
60QA000850,114
60QA000851,143
60QA000852,170
60QA000853,144
60QA000854,84
60QA000855,111
60QA000856,74
60QA000857,106
60QA000858,57
60QA000859,133
60QA000860,124
60QA000861,151
60QA000862,174
60QA000863,167
60QA000864,145
60QA000865,113
60QA000866,109
60QA000867,113
60QA000868,154
60QA000869,148
60QA000870,177
60QA000871,121
60QA000872,88
60QA000873,222
60QA000874,122
60QA000875,111
60QA000876,99
60QA000877,87
60QA000878,65
60QA000879,358
60QA000880,111
60QA000881,103
60QA000882,72
60QA000883,86
60QA000884,116
60QA000885,138
60QA000886,127
60QA000887,115
60QA000888,101
60QA000889,161
60QA000890,152
60QA000891,109
60QA000892,127
60QA000893,90
60QA000894,106
60QA000895,66
60QA000896,166
60QA000897,170
60QA000898,167
60QA000899,91
60QA000900,92
60QA000901,111
60QA000902,119
60QA000903,115
60QA000904,84
60QA000905,159
60QA000906,98
60QA000907,88
60QA000908,98
60QA000909,87
60QA000910,101
60QA000911,123
60QA000912,98
60QA000913,126
60QA000914,117
60QA000915,101
60QA000916,103
60QA000917,138
60QA000918,102
60QA000919,88
60QA000920,144
60QA000921,73
60QA000922,79
60QA000923,105
60QA000924,144
60QA000925,117
60QA000926,114
60QA000927,65
60QA000928,99
60QA000929,77
60QA000930,354
60QA000931,95
60QA000932,131
60QA000933,125
60QA000934,114
60QA000935,98
60QA000936,146
60QA000937,70
60QA000938,131
60QA000939,203
60QA000940,62
60QA000941,116
60QA000942,120
60QA000943,112
60QA000944,94
60QA000945,105
60QA000946,71
60QA000947,100
60QA000948,95
60QA000949,168
60QA000950,172
60QA000951,133
60QA000952,102
60QA000953,97
60QA000954,117
60QA000955,162
60QA000956,99
60QA000957,122
60QA000958,110
60QA000959,127
60QA000960,107
60QA000961,108
60QA000962,141
60QA000963,104
60QA000964,98
60QA000965,55
60QA000966,126
60QA000967,88
60QA000968,108
60QA000969,121
60QA000970,87
60QA000971,87
60QA000972,130
60QA000973,122
60QA000974,98
60QA000975,118
60QA000976,157
60QA000977,198
60QA000978,86
60QA000979,61
60QA000980,120
60QA000981,121
60QA000982,111
60QA000983,108
60QA000984,87
60QA000985,100
60QA000986,103
60QA000987,138
60QA000988,66
60QA000989,91
60QA000990,196
60QA000991,90
60QA000992,102
60QA000993,103
60QA000994,142
60QA000995,131
60QA000996,120
60QA000997,134
60QA000998,93
60QA000999,96
60QA001000,121
60QA001001,158
60QA001002,118
60QA001003,142
60QA001004,129
60QA001005,66
60QA001006,155
60QA001007,163
60QA001008,87
60QA001009,153
60QA001010,126
60QA001011,107
60QA001012,108
60QA001013,183
60QA001014,139
60QA001015,143
60QA001016,153
60QA001017,144
60QA001018,142
60QA001019,157
60QA001020,124
60QA001021,131
60QA001022,154
60QA001023,67
60QA001024,78
60QA001025,108
60QA001026,117
60QA001027,166
60QA001028,63
60QA001029,131
60QA001030,181
60QA001031,140
60QA001032,99
60QA001033,107
60QA001034,144
60QA001035,187
60QA001036,162
60QA001037,63
60QA001038,140
60QA001039,128
60QA001040,121
60QA001041,95
60QA001042,122
60QA001043,182
60QA001044,58
60QA001045,65
60QA001046,121
60QA001047,124
60QA001048,146
60QA001049,219
60QA001050,122
60QA001051,144
60QA001052,132
60QA001053,129
60QA001054,176
60QA001055,102
60QA001056,118
60QA001057,169
60QA001058,146
60QA001059,112
60QA001060,117
60QA001061,102
60QA001062,108
60QA001063,179
60QA001064,130
60QA001065,127
60QA001066,113
60QA001067,111
60QA001068,120
60QA001069,61
60QA001070,187
60QA001071,75
60QA001072,65
60QA001073,144
60QA001074,163
60QA001075,115
60QA001076,93
60QA001077,102
60QA001078,186
60QA001079,176
60QA001080,169
60QA001081,122
60QA001082,100
60QA001083,136
60QA001084,95
60QA001085,178
60QA001086,160
60QA001087,156
60QA001088,124
60QA001089,165
60QA001090,87
60QA001091,205
60QA001092,117
60QA001093,151
60QA001094,119
60QA001095,160
60QA001096,157
60QA001097,192
60QA001098,245
60QA001099,172
60QA001100,262
60QA001101,136
60QA001102,116
60QA001103,115
60QA001104,74
60QA001105,142
60QA001106,160
60QA001107,112
60QA001108,163
60QA001109,141
60QA001110,155
60QA001111,172
60QA001112,197
60QA001113,154
60QA001114,149
60QA001115,139
60QA001116,116
60QA001117,133
60QA001118,139
60QA001119,127
60QA001120,91
60QA001121,129
60QA001122,97
60QA001123,99
60QA001124,121
60QA001125,88
60QA001126,97
60QA001127,85
60QA001128,168
60QA001129,91
60QA001130,94
60QA001131,108
60QA001132,121
60QA001133,113
60QA001134,124
60QA001135,198
60QA001136,118
60QA001137,142
60QA001138,120
60QA001139,120
60QA001140,144
60QA001141,93
60QA001142,156
60QA001143,119
60QA001144,99
60QA001145,89
60QA001146,108
60QA001147,109
60QA001148,115
