"code","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"E01009042",46,60,51,44,60,36,48,30,32,49,40
"E01009043",131,129,96,71,84,72,78,87,61,86,57
"E01009044",59,28,35,34,51,49,47,37,50,38,23
"E01009045",169,170,184,161,145,122,110,105,89,107,75
"E01009046",107,64,97,74,64,64,65,37,54,63,32
"E01009047",181,188,111,104,101,105,86,90,62,80,47
"E01009048",164,130,118,81,148,84,63,62,76,74,67
"E01009049",84,69,58,86,63,53,45,58,44,39,50
"E01009050",103,97,95,73,73,35,60,48,59,64,83
"E01009051",170,181,162,172,163,151,116,74,99,131,151
"E01009053",193,201,192,176,161,97,136,129,152,132,132
"E01009054",56,58,45,70,49,36,44,48,36,49,38
"E01009056",154,125,106,121,97,98,88,72,89,91,86
"E01009057",110,110,87,81,94,87,74,64,57,53,56
"E01009058",48,59,56,35,32,38,38,33,43,41,39
"E01009059",116,79,89,62,85,51,74,50,58,49,67
"E01009060",98,103,83,92,71,66,81,54,47,40,50
"E01009061",119,103,105,85,100,50,64,64,50,58,53
"E01009062",119,122,88,71,74,47,71,41,62,52,57
"E01009064",80,104,79,71,104,92,96,52,60,71,62
"E01009065",109,79,91,69,71,67,81,91,58,108,93
"E01009090",219,198,128,142,182,205,211,152,126,218,239
"E01009091",107,118,124,143,132,119,112,118,71,91,94
"E01009092",239,133,97,109,122,153,128,129,59,45,50
"E01009093",162,153,161,214,167,130,161,138,103,98,72
"E01009094",130,100,178,195,130,101,135,90,72,83,88
"E01009095",359,304,332,329,245,236,257,211,190,240,208
"E01009096",284,211,155,95,108,121,64,103,88,55,62
"E01009097",182,133,82,111,109,82,92,101,67,68,54
"E01009098",330,388,322,190,170,193,173,123,131,114,113
"E01009099",253,190,183,147,130,147,101,134,103,99,77
"E01009100",201,238,189,168,135,116,86,77,92,74,66
"E01009101",655,551,459,343,422,359,285,223,277,294,293
"E01009102",755,664,622,489,453,408,383,366,299,313,313
"E01009103",124,134,130,129,102,105,63,67,82,72,52
"E01009104",152,117,105,114,88,104,126,92,71,98,51
"E01009105",141,183,82,51,49,64,51,50,58,56,41
"E01009106",108,89,72,38,35,42,23,35,30,23,36
"E01009107",178,169,208,145,132,126,122,103,101,126,141
"E01009108",94,70,114,78,83,90,72,60,44,67,47
"E01009109",139,117,97,96,108,107,132,83,107,111,73
"E01009110",105,97,106,84,99,64,78,89,86,116,73
"E01009111",131,96,122,126,77,77,72,68,57,68,48
"E01009112",85,93,115,69,68,94,69,60,46,47,34
"E01009113",168,157,159,163,136,152,120,103,95,125,144
"E01009114",130,96,110,105,118,91,67,71,72,75,57
"E01009115",96,81,122,132,85,78,81,61,53,60,72
"E01009116",255,213,267,140,202,157,175,145,140,181,123
"E01009117",124,163,120,121,93,82,112,83,130,84,76
"E01009118",79,59,92,95,98,91,91,66,46,50,47
"E01009119",301,278,253,147,186,179,135,133,97,138,146
"E01009120",132,132,87,75,112,135,106,99,101,69,72
"E01009121",228,247,277,195,184,216,131,165,159,187,132
"E01009122",193,146,190,142,111,96,59,86,91,57,69
"E01009123",168,91,109,104,103,113,79,68,73,87,61
"E01009124",253,174,238,163,174,158,136,90,57,72,74
"E01009141",157,151,133,110,120,111,119,80,51,83,75
"E01009125",208,126,135,105,114,55,81,49,60,59,78
"E01009126",84,49,85,31,47,42,46,29,67,39,49
"E01009127",148,125,132,87,121,110,86,83,92,68,55
"E01009128",153,109,133,169,170,139,122,100,115,84,70
"E01009129",177,156,148,168,171,159,108,133,91,90,115
"E01009130",121,98,129,138,99,126,87,106,52,67,87
"E01009131",177,160,100,103,137,147,112,105,86,57,71
"E01009132",196,153,188,162,148,118,74,123,99,76,84
"E01009133",174,151,139,144,123,121,66,98,62,65,69
"E01009134",164,183,161,169,132,149,126,107,83,102,107
"E01009135",50,57,78,51,48,83,46,34,34,39,29
"E01009136",105,103,81,102,82,109,64,49,71,65,59
"E01009137",160,142,158,102,114,107,103,85,85,87,108
"E01009138",63,45,79,68,53,57,44,45,48,44,50
"E01009139",79,79,90,55,49,45,66,54,47,50,42
"E01009140",196,183,166,143,139,169,141,109,94,126,110
"E01009143",301,194,202,143,159,133,141,117,97,105,121
"E01009145",88,81,76,93,61,45,55,52,49,75,61
"E01009147",144,157,195,135,96,129,124,112,104,118,92
"E01009151",73,78,65,55,50,38,34,47,44,59,32
"E01009155",88,84,129,121,85,65,72,55,63,64,68
"E01009157",112,163,150,173,147,147,120,101,103,114,145
"E01009158",196,103,86,93,75,141,109,113,83,66,85
"E01009159",304,280,420,328,337,444,254,261,249,224,232
"E01009160",124,174,188,97,112,131,98,79,75,65,103
"E01009161",112,82,81,84,108,125,62,55,67,61,58
"E01009162",77,108,102,75,65,112,73,73,90,84,75
"E01009163",186,197,197,161,123,141,99,88,94,90,102
"E01009164",61,56,65,66,57,50,62,35,52,24,22
"E01009165",235,187,154,180,148,124,67,82,54,56,79
"E01009283",243,185,159,109,160,73,115,106,105,113,126
"E01009284",338,328,287,281,244,340,279,303,292,226,224
"E01009166",89,95,89,38,84,57,44,29,31,37,39
"E01009167",39,44,60,65,55,58,36,30,41,52,27
"E01009307",101,106,111,107,122,104,96,77,77,77,57
"E01009168",46,82,73,70,65,63,43,26,25,31,24
"E01009309",155,179,156,182,140,162,128,113,65,103,91
"E01009169",111,95,102,66,47,66,28,44,60,42,50
"E01009170",75,92,92,80,83,61,50,62,63,67,56
"E01009171",84,91,77,62,76,75,69,58,58,43,47
"E01009172",83,196,86,78,75,93,105,77,73,50,66
"E01009173",101,120,117,94,101,120,75,66,82,55,57
"E01009174",147,160,129,115,154,162,95,69,87,77,84
"E01009175",143,131,111,117,121,99,105,85,103,81,96
"E01009176",73,71,57,81,80,81,54,57,68,87,61
"E01009177",45,73,77,68,68,55,59,78,53,58,51
"E01009178",451,400,389,354,361,406,339,272,255,310,306
"E01009179",68,118,71,82,82,76,77,78,62,60,86
"E01009182",131,91,125,107,97,107,104,96,98,115,70
"E01009183",86,114,113,112,92,99,109,62,59,59,85
"E01009184",313,270,260,216,213,181,189,204,119,171,224
"E01009185",89,89,56,86,80,64,51,65,74,78,53
"E01009186",91,96,107,74,78,84,65,77,71,69,75
"E01009187",63,88,77,73,100,48,59,77,67,53,47
"E01009188",149,156,161,114,148,115,116,100,103,113,98
"E01009189",71,91,51,74,59,60,44,79,42,42,49
"E01009192",85,109,94,118,93,77,77,68,98,58,30
"E01009194",164,173,119,198,159,136,152,127,137,61,79
"E01009195",157,131,93,139,100,61,69,70,73,75,54
"E01009197",114,82,66,59,62,92,85,69,52,63,40
"E01009198",213,203,130,188,202,159,152,132,130,155,111
"E01009199",216,215,191,205,199,151,150,100,117,113,102
"E01009200",746,602,555,532,573,597,428,384,428,637,566
"E01009201",202,191,205,191,206,150,137,126,109,117,120
"E01009202",273,311,266,263,236,224,210,195,164,217,196
"E01009203",337,403,379,349,321,282,231,234,208,215,232
"E01009204",279,229,303,225,201,196,190,134,120,130,131
"E01009205",101,69,86,72,91,65,66,77,53,63,36
"E01009206",114,85,118,60,93,120,92,78,82,49,47
"E01009207",77,90,72,89,59,61,79,69,58,52,57
"E01009208",69,89,51,42,57,58,50,52,46,36,39
"E01009209",149,137,188,122,144,166,164,145,147,92,105
"E01009210",113,97,158,86,124,116,115,89,92,76,92
"E01009211",41,36,47,50,58,69,40,54,37,25,32
"E01009212",149,123,192,107,150,152,131,113,94,95,95
"E01009213",89,82,108,78,77,126,93,99,63,96,68
"E01009214",96,77,114,67,122,110,94,100,78,51,73
"E01009215",212,135,186,98,120,160,107,109,116,91,73
"E01009217",61,67,83,52,72,63,55,44,42,38,26
"E01009362",206,125,121,90,105,95,91,85,72,94,73
"E01009368",71,79,45,53,60,64,45,36,27,53,21
"E01009380",82,61,77,102,82,98,82,62,61,58,53
"E01009384",125,139,119,127,119,109,154,71,80,85,81
"E01009218",137,106,95,90,97,85,84,67,96,71,60
"E01009219",379,280,323,371,398,379,340,327,327,355,304
"E01009220",97,120,96,105,92,62,74,79,54,57,51
"E01009224",71,89,79,77,77,66,54,62,59,35,46
"E01009225",74,93,93,73,109,78,67,86,82,59,55
"E01009226",151,136,134,113,114,131,79,79,101,57,52
"E01009227",62,90,96,73,71,79,49,52,48,42,47
"E01009228",76,75,61,60,85,88,62,66,30,57,57
"E01009229",70,66,52,61,64,68,39,34,37,43,19
"E01009231",151,120,169,83,93,123,56,60,54,76,71
"E01009232",190,169,196,124,164,114,133,106,96,106,109
"E01009233",102,122,122,74,145,93,62,57,60,62,49
"E01009234",67,71,92,44,49,54,39,34,34,33,38
"E01009235",62,62,51,54,49,44,39,65,34,40,46
"E01009236",98,89,90,59,84,58,60,41,31,45,35
"E01009237",112,73,90,120,76,71,66,61,59,64,86
"E01009238",128,80,69,58,48,44,45,40,47,40,61
"E01009239",544,552,487,433,302,311,219,254,244,269,209
"E01009240",64,54,57,55,46,44,39,44,47,33,65
"E01009241",70,68,60,40,54,52,54,49,36,48,54
"E01009242",587,497,469,490,570,522,445,342,240,227,196
"E01009243",47,44,63,55,65,89,37,30,70,53,50
"E01009244",67,42,100,46,57,49,53,45,34,39,24
"E01009245",90,70,60,79,73,75,62,62,64,73,62
"E01009246",61,65,62,60,52,55,52,31,26,51,43
"E01009247",74,72,80,48,58,50,39,51,42,45,46
"E01009248",84,74,110,56,53,58,54,52,43,36,57
"E01009249",95,69,75,46,34,34,44,46,34,44,46
"E01009250",134,106,79,69,110,81,89,97,76,58,60
"E01009251",163,197,245,146,155,105,104,131,88,132,124
"E01009252",168,117,114,72,78,61,69,59,59,67,63
"E01009253",130,113,100,72,73,88,82,126,72,88,99
"E01009254",147,114,98,77,66,83,69,57,59,40,47
"E01009255",92,92,57,53,72,105,63,65,39,52,58
"E01009256",101,87,74,60,61,83,59,56,58,52,46
"E01009257",113,104,98,64,69,79,56,98,52,89,77
"E01009258",100,102,88,82,71,110,70,87,63,61,54
"E01009259",93,117,98,114,121,119,98,136,77,68,84
"E01009483",205,215,148,185,133,119,87,126,115,79,63
"E01009385",158,149,185,182,177,121,127,135,97,129,94
"E01009484",167,271,207,184,152,105,79,63,91,101,99
"E01009485",87,89,53,66,77,60,51,53,72,23,27
"E01009512",156,161,124,122,125,118,120,87,79,63,58
"E01009513",299,200,231,151,160,232,178,113,117,104,98
"E01009514",295,295,243,255,265,234,190,129,92,74,77
"E01009515",95,123,105,80,60,72,87,59,37,45,59
