"code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"E00046586","0","0","12","0","3","0","0","0","6","13","3","0","0","1","3","0","0"
"E00047121","0","3","23","23","15","9","71","16","12","3","24","14","12","1","0","0","0"
"E00045409","0","4","3","12","0","21","6","17","11","9","0","0","0","1","0","3","0"
"E00046497","0","0","21","29","22","27","9","21","16","6","12","7","3","10","14","0","0"
"E00045654","0","0","0","9","6","11","6","9","15","0","0","15","6","6","1","3","3"
"E00047595","0","1","24","0","6","6","3","3","3","0","0","3","0","0","2","3","5"
"E00046352","0","9","35","54","15","39","24","61","10","6","14","6","4","11","4","3","3"
"E00046186","0","1","3","1","3","6","3","10","0","0","12","0","11","3","8","3","11"
"E00047590","0","0","14","0","15","4","6","3","6","9","0","3","3","3","16","5","0"
"E00046357","0","0","10","35","6","15","22","4","26","4","3","3","5","6","1","15","0"
"E00046669","0","11","40","32","26","51","21","42","35","9","12","20","23","7","8","10","4"
"E00047518","0","11","15","22","24","52","13","17","16","6","34","3","0","6","6","14","6"
"E00048090","0","0","3","33","31","35","39","38","6","7","23","9","13","12","30","21","0"
"E00045807","0","9","32","37","33","66","17","24","21","0","13","27","9","21","24","19","10"
"E00047051","0","0","9","15","19","21","19","39","36","19","36","54","33","7","12","19","3"
"E00045304","0","4","24","6","5","13","3","21","3","9","24","6","0","3","3","4","0"
"E00175796","0","6","9","14","22","36","30","21","34","32","4","20","13","5","16","29","0"
"E00048100","0","0","15","14","14","15","6","9","0","6","14","3","9","9","0","1","0"
"E00046219","0","3","3","6","19","3","14","9","12","0","0","0","20","6","9","4","9"
"E00045189","0","7","0","6","18","44","1","5","12","29","13","3","3","5","8","26","15"
"E00046373","0","4","18","9","4","6","6","6","20","14","9","0","3","3","0","3","1"
"E00175637","0","98","89","162","141","145","184","271","185","110","119","134","100","96","149","125","38"
"E00175774","0","12","24","20","25","26","12","16","15","6","6","0","9","6","0","11","0"
"E00046734","0","15","66","80","69","115","107","94","94","67","54","43","25","36","37","55","3"
"E00046012","0","3","26","21","10","6","15","6","21","6","15","3","0","15","6","17","5"
"E00046231","0","6","15","9","0","0","0","0","13","3","29","3","21","25","12","28","12"
"E00047636","0","4","2","6","15","10","0","27","7","3","1","9","0","0","15","17","0"
"E00046868","0","0","5","21","13","9","6","18","14","11","12","13","6","0","11","26","0"
"E00046349","0","19","32","89","17","42","31","26","32","26","34","34","31","6","16","34","1"
"E00047618","0","15","12","12","9","26","19","13","18","10","9","6","12","11","17","17","0"
"E00175657","0","94","88","43","69","64","36","47","32","38","35","46","51","63","27","41","9"
"E00048071","0","9","0","6","3","15","12","1","9","0","0","0","3","11","0","3","0"
"E00046662","0","37","41","45","85","71","107","72","18","19","42","47","37","10","9","9","3"
"E00047705","0","2","0","0","3","0","3","0","0","3","0","3","3","6","6","0","0"
"E00046644","0","29","20","16","40","32","15","29","16","12","28","26","0","0","15","6","3"
"E00046303","0","14","6","12","0","10","3","6","6","4","6","0","0","0","6","14","0"
"E00047389","0","32","73","131","142","88","98","68","42","42","65","26","21","9","13","26","0"
"E00045170","0","22","33","29","71","59","56","65","4","24","18","23","9","21","13","62","3"
"E00046224","0","22","12","36","27","111","77","34","38","15","34","34","39","32","9","23","0"
"E00046914","0","13","5","1","0","3","3","3","6","9","0","3","4","3","0","5","0"
"E00047467","0","5","42","25","28","38","49","19","29","22","9","18","28","3","32","15","6"
"E00175793","0","16","6","36","22","10","12","27","26","6","6","6","20","6","9","9","3"
"E00175794","0","48","43","61","38","81","57","105","35","67","58","32","36","43","52","41","0"
"E00045198","0","13","15","9","37","17","6","44","17","14","4","6","11","6","9","11","3"
"E00047498","0","20","79","80","101","107","50","49","72","36","53","34","29","21","21","48","0"
"E00047073","0","0","2","0","0","6","0","11","6","6","14","0","0","0","3","14","3"
"E00045718","0","0","2","12","10","7","12","9","6","6","6","7","9","0","1","3","0"
"E00045843","0","3","7","12","6","27","23","7","15","3","9","17","11","9","20","0","0"
"E00045960","0","7","17","25","52","56","41","43","0","59","36","22","35","31","29","37","3"
"E00046183","0","24","59","26","43","21","23","27","28","36","20","23","12","26","26","12","0"
"E00045195","0","7","17","7","9","29","21","26","38","11","12","3","19","11","9","31","9"
"E00047063","0","0","14","3","11","28","12","3","0","18","15","0","6","9","16","3","3"
"E00048057","0","0","8","9","9","16","15","18","12","27","3","9","17","9","12","14","17"
"E00046983","0","18","15","29","24","15","15","27","53","12","9","27","18","12","26","31","17"
"E00045226","0","7","8","0","9","9","9","12","0","0","0","3","6","0","3","3","0"
"E00046976","0","12","12","33","32","31","41","21","10","10","32","23","14","18","31","15","0"
